

  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.02, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.00, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.57, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.00
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.01
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.02
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.02
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.02
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.02
  q0:1.00, q1:-0.00, q2:0.01, q3:-0.00 |Roll:-0.01, Pitch:0.58, Yaw:-0.02
